21
30
10
0
0
3
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,18,36,18,18,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,18,36,18,18,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,18,36,18,18,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,18,36,18,18,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,18,36,17,18,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,18,36,17,18,18,18,18,18,18,18,18,18,
154,155,156,18,18,18,18,18,18,18,36,17,18,18,18,18,18,18,154,155,156,
18,18,18,18,18,18,18,18,4,35,36,33,5,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,18,18,18,
154,155,156,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,154,155,156,
18,18,18,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,18,18,18,
154,155,156,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,154,155,156,
18,18,18,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,18,18,18,
154,155,156,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,154,155,156,
18,18,18,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,18,18,18,
154,155,156,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,154,155,156,
18,18,18,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,18,18,18,
154,155,156,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,154,155,156,
18,18,18,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,18,18,18,
154,155,156,18,18,18,18,18,18,36,36,36,17,18,18,18,18,18,154,155,156
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,
0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,
38,39,40,0,0,0,0,0,0,116,e5,116,0,0,0,0,0,0,38,39,40,
0,0,0,0,0,0,0,0,0,116,0,116,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,116,0,116,0,0,0,0,0,0,0,0,0,
